Data-collection-year,publication-policy-year,strand-one-filename,strand-one-type,interview-strand-three
2022,,School Module Choices.sav,policy,
2025,,Teacher*_reconciled.docx,teacherinterview,
2025,2017,GCSE History (2017)-specification-Standard.docx,policy,
2022,1997,Updated Johnston&Johnston no textboxes.docx,txtbk,
2022,2004,Madden and McBride History for CCEA GCSE Chapter 3.docx,txtbk,
2022,2004,Madden_and_McBride (2004) History for CCEA GCSE - Chapter 3.docx,txtbk,
2022,2007,Madden (2007) History for CCEA GCSE Revision Guide - Chapter 4 (Changing Relationships) (2).docx,txtbk,
2022,2011,Madden (2011) CCEA revision guide Chp 3. Changing Relationships.docx,txtbk,
2022,2009,Madden (2009) History for CCEA GCSE Second Edition - Chapter 3 (Changing Relationships).docx,txtbk,
2022,2001,Doherty (2001) Northern Ireland since c.1960 .docx,txtbk,
2022,2019,GCSE Planning Framework History Unit 1 Section B Option 2.docx,policy,
2025,,option2_combined all.docx,teacher-online-gpt,
2022,2004,Madden and McBride History for CCEA GCSE Chapter 2.docx,txtbk,
2022,2001,Updated Doherty (2001) no textboxes.docx,txtbk,
2022,2004,Madden & McBride (2004) History for CCEA GCSE - Chapter 2 .docx,txtbk,
2022,2009,"Madden (2009) History for CCEA GCSE Second Edition - Chapter 2 (Peace, War and Neutrality) (1).docx",txtbk,
2022,2007,"Madden (2007) History for CCEA GCSE Revision Guide - Chapter 3 (Peace, War and Neutrality).docx",txtbk,
2022,2011,Madden (2011) ccea revision guide chp 2 peace war neutrality.docx,txtbk,
2022,2019,GCSE Planning Framework History Unit 1 Section B Option 1.docx,policy,
2025,,option1_combined all.docx,teacher-online-gpt,
