filename,file_type,religious_group,content,content_length,word_count,chunk_id,chunk_count,has_url_content,has_ai_summary,source_url,publication_policy_year,cleaned_content
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"Madden and McBride – History for CCEA GCSE Chapter 2 (page 61) Peace, War and Neutrality: Britain, Northern Ireland and Ireland in the Second World War c1932-49 Unit 1 Anglo-Irish Relations Before World War II The Background to Partition: Ireland, 1912-21 Introduction The years 1912-21 saw significant changes in the relationship between Ireland and Britain. In 1912 all of Ireland was under British rule. Within ten years there were two separate and distinct states in Ireland: Northern Ireland and the Irish Free State. Northern Ireland remained part of the United Kingdom, while the Irish Free State had gained a large degree of independence from Britain. Home Rule In 1912 Britain's Liberal Government promised to introduce Home Rule to Ireland. This would establish a parliament in Dublin to look after Ireland's internal affairs. At the same time Ireland would remain part of the United Kingdom. Home Rule had been the goal of Ireland's nationalist politicians for almost a century.",989,158,0.0,129,False,False,,2004.0,madden mcbride ccea gcse chapter page peace war neutrality britain second world war unit relation second world war background partition introduction saw significant change relationship britain british rule within separate distinct state irish free state remained part united kingdom irish free state gained large degree independence britain home rule britain liberal government promised introduce home rule establish parliament dublin look internal affair time remain part united kingdom home rule goal nationalist politician almost century
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"ited Kingdom. Home Rule had been the goal of Ireland's nationalist politicians for almost a century. It now seemed as if that goal was to be achieved. However, not everyone in Ireland was delighted by this prospect. Significant parts of the population of the province of Ulster were unionists. They feared that a parliament in Dublin would come under the influence of the Catholic Church. They were determined that Ireland should not have its own parliament. Both sides built up private armies to ensure that they got their way. By mid-1914 it seemed as if civil war was about to break out between the two sides; however, with the start of the Great far in August 1914, it was agreed to postpone the introduction of Home Rule until the conflict had ended. (Image – Punch cartoon showing Irish Parliamentary Party leader John Redmond trying to herd a group of pigs representing Ireland through the Home Rule gate.",912,157,1.0,129,False,False,,2004.0,ited kingdom home rule goal nationalist politician almost century seemed goal achieved however everyone delighted prospect significant part population province ulster unionist feared parliament dublin come influence catholic church determined parliament side built private army ensure got way seemed civil war break side however start great far august agreed postpone introduction home rule conflict ended image punch cartoon showing irish parliamentary party leader john redmond trying herd group pig representing home rule gate
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"leader John Redmond trying to herd a group of pigs representing Ireland through the Home Rule gate. The pig representing the unionists of North-East Ulster is trying to escape) The Easter Rising, 1916 Not everyone was prepared to wait. In April 1916 a group of republicans led by Padraig Pearse staged a rebellion against British rule and (Image – The 1916 proclamation of independence) (page 62) declared Ireland a republic. While the rebellion failed, the harsh way in which the British Government reacted to it had a profound impact on Irish politics. Instead of wanting Home Rule, many nationalists now demanded that Ireland be given full independence. By 1918 the previously insignificant Sinn Féin had replaced the more moderate Irish Parliamentary Party as the largest political party in Ireland. Moreover, rather than send MPs to London, Sinn Féin set up its own parliament in Dublin, Dáil Éireann.",906,147,2.0,129,False,False,,2004.0,leader john redmond trying herd group pig representing home rule gate pig representing unionist ulster trying escape easter rising everyone prepared wait april group republican led padraig pearse staged rebellion british rule image proclamation independence page declared republic rebellion failed harsh way british government reacted profound impact irish politics instead wanting home rule nationalist demanded given full independence previously insignificant sinn féin replaced moderate irish parliamentary party largest political party moreover rather send mp london sinn féin set parliament dublin dáil éireann
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"reover, rather than send MPs to London, Sinn Féin set up its own parliament in Dublin, Dáil Éireann. With its calls for the creation of an independent Irish Republic (Source A), the scene was set for some sort of conflict. The Government of Ireland Act, 1920 The conflict was not long in coming. In January 1919 the IRA began what became known as the Anglo-Irish War against the British forces in Ireland. While fighting this war, the British began the search for an acceptable political solution. The result was the 1920 Government of Ireland Act. This proposed the partitioning of Ireland and the establishment of devolved governments in both parts of Ireland. (Image – 1920 Painting by Sean Keating of an IRA flying column) The unionists had been concerned that Britain would give in to Sinn Fein (Source B) and so were delighted at the terms of the Government of Ireland Act. They therefore agreed to the idea of partition and began the process of setting up their own parliament.",984,170,3.0,129,False,False,,2004.0,reover rather send mp london sinn féin set parliament dublin dáil éireann call creation independent irish republic source scene set sort conflict government act conflict long coming january ira began became known war british force fighting war british began search acceptable political solution result government act proposed partitioning establishment devolved government part image painting sean keating ira flying column unionist concerned britain give sinn féin source b delighted term government act therefore agreed idea partition began process setting parliament
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"therefore agreed to the idea of partition and began the process of setting up their own parliament. Sinn Fein, however, rejected the Government of Ireland Act, saying that it didn't give Ireland enough freedom. The war therefore continued for another six months before a ceasefire was agreed and negotiations began. These discussions resulted, in December 1921, in the signing of the Anglo-Irish Treaty, which established a 26-county Irish Free State. Although it was still not full independence, it gave Dublin more power than home rule. In the words of Michael Collins, it gave Irish politicians 'freedom, not the ultimate freedom that all nations desire and develop to, but the freedom to achieve it’. Source A Sinn Féin aims at securing international recognition of Ireland as an Independent Irish Republic. Sinn Féin President, Éamon de Valera, explains his party’s aims, 1917 Source B We in Ulster will tolerate no Sinn Féin.",931,150,4.0,129,False,False,,2004.0,therefore agreed idea partition began process setting parliament sinn féin however rejected government act saying give enough freedom war therefore continued another month ceasefire agreed negotiation began discussion resulted december signing treaty established irish free state although still full independence gave dublin power home rule word michael collins gave irish politician ultimate freedom nation desire develop freedom achieve source sinn féin aim securing international recognition independent irish republic sinn féin president éamon de_valera explains party aim source b ulster tolerate sinn féin
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,", Éamon de Valera, explains his party’s aims, 1917 Source B We in Ulster will tolerate no Sinn Féin. If [the British Government] is unable to protect us from Sinn Féin and won’t take our help, we will take the matter into our own hands. Unionist leader, Sir Edward Carson, warning the British Government about the consequences of giving in to Sin Féin, July 1920 (adapted) The Irish Free State, 1922-32 Many in Sinn Féin were happy with the Treaty (Source A); however, not all of Collins’s colleagues agreed. As a result the Treaty split the IRA and Sinn Féin. In particular, divisions emerged over the issues of partition and the Free State’s remaining links with Britain (Source B). Partition Partition had become a reality with the establishment of Northern Ireland in 1921. During the negotiations leading to the Treaty the Sinn Fein delegation reluctantly accepted the partition of Ireland as a temporary price to pay for political independence.",950,159,5.0,129,False,False,,2004.0,éamon de_valera explains party aim source b ulster tolerate sinn féin british government unable protect u sinn féin take help take matter hand unionist leader sir edward carson warning british government consequence giving sin féin july adapted irish free state sinn féin happy treaty source however collins colleague agreed result treaty split ira sinn féin particular division emerged issue partition free state remaining link britain source b partition partition become reality establishment negotiation leading treaty sinn féin delegation reluctantly accepted partition temporary price pay political independence
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"eluctantly accepted the partition of Ireland as a temporary price to pay for political independence. They were helped here by the British promise to set up a Boundary (Page 63) Commission to examine the location of the border at a future date. The Irish delegation was told that this Commission would take land off Northern Ireland and leave it too small to survive. In this way Ireland would be united again. This promise did not convince all republicans. The anti-treaty supporters, led by Éamon de Valera, attacked the Treaty for its acceptance of partition. They argued that it meant the abandonment of half a million nationalists living inside the new state of Northern Ireland. (Image – Dublin Opinion cartoon commenting on what the 1921 Treaty was doing to Ireland) Of course the partitioning of Ireland also created a Protestant minority in the South, albeit a much smaller one.",886,148,6.0,129,False,False,,2004.0,eluctantly accepted partition temporary price pay political independence helped british promise set boundary page commission examine location border future date irish delegation told commission take land leave small survive way united promise convince republican supporter led éamon de_valera attacked treaty acceptance partition argued meant abandonment half million nationalist living inside new state image dublin opinion cartoon commenting treaty course partitioning created protestant minority south albeit smaller
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"partitioning of Ireland also created a Protestant minority in the South, albeit a much smaller one. In the years after partition, the proportion of the Irish Free State population that was Protestant declined, leading to accusations of discrimination on the part of the Free State Government. In reality, however, the Dublin Government made strenuous efforts to cultivate Southern Protestant interests through the use of PR, the provision of positions in the Senate and the guaranteeing of religious and educational freedoms in the Constitution. Links Between Britain And The Irish Free State As part of the Treaty, Sinn Fein accepted that the Irish Free State was a dominion of the British Commonwealth, with the same constitutional status and rights as Canada.",762,120,7.0,129,False,False,,2004.0,partitioning created protestant minority south albeit smaller partition proportion irish free state population protestant declined leading accusation discrimination part free state government reality however dublin government strenuous effort cultivate southern protestant interest use pr provision position senate guaranteeing religious educational freedom constitution link britain irish free state part treaty sinn féin accepted irish free state dominion british commonwealth constitutional status right canada
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"as a dominion of the British Commonwealth, with the same constitutional status and rights as Canada. There would be three key features in this dominion: The Crown in Ireland would be represented by a Governor General; The elected representatives to Dáil Éireann would have to swear an Oath of Allegiance to the British Crown (Source C); The highest cort of appeal in legal cases would be the Privy Council in Westminster Britain also retained three ports in the Irish Free Sate as naval facilities: the so-called ‘Treaty Ports’ of Berehaven, Cobh and Lough Swilly. Again there was fury from the anti-Treaty side. They argued that the Oath meant that Ireland would still be controlled by Britain. They also argued that an oath to the king would break the oath that they had all sworn to an Irish Republic. Yet the majority of the Dáil agreed with Collins and the Treaty was accepted by 64 votes to 57. In protest de Valera and his followers walked out of the Dáil.",963,169,8.0,129,False,False,,2004.0,dominion british commonwealth constitutional status right canada key feature dominion crown represented governor general elected representative dáil éireann swear oath allegiance british crown source c highest cort appeal legal case privy council westminster britain retained port irish free sate naval facility treaty port berehaven cobh lough swilly fury side argued oath meant still controlled britain argued oath king break oath sworn irish republic yet majority dáil agreed collins treaty accepted vote protest de_valera follower walked dáil
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"reaty was accepted by 64 votes to 57. In protest de Valera and his followers walked out of the Dáil. The republicans' failure to reach accommodation over these issues led to the Irish Civil War of 1922-3. The pro-Treaty side was victorious in the Civil War and for the next nine years the Free State was governed by a pro-Treaty party, Cumann na nGaedheal, headed by William T Cosgrave. In 1926 de Valera established the Fianna Fáil Party. They entered the Dáil in 1927 and within a year had become the official opposition party in the Dáil. Developments, 1923-32 Cosgrave’s Government soon began to challenge the Free State’s relationship with Britain by trying to show that they could do the same kinds of things as other independent countries: In 1923 they joined the League of Nations; In 1924 the Irish Free State became the first Commonwealth country to appoint its own ambassador to the USA; At Imperial Conferences held in 1926 and 1930 the Irish representatives encouraged the other",991,169,9.0,129,False,False,,2004.0,reaty accepted vote protest de_valera follower walked dáil republican failure reach accommodation issue led irish civil war side victorious civil war next free state governed party cumann na ngaedheal headed william cosgrave de_valera established fianna fáil party entered dáil within become official opposition party dáil development cosgrave government soon began challenge free state relationship britain trying show kind thing independent country joined league nation irish free state became first commonwealth country appoint ambassador usa imperial conference held irish representative encouraged
