Topic,Count,Name,Representation,KeyBERT,OpenAI,MMR,Representative_Docs,top_words,raw_content_samples,sample_indices
-1,266,-1_war_irish_british_government,"['war', 'irish', 'british', 'government', 'de', 'world', 'website', 'valera', 'state', 'act']","['unionist', 'world war', 'ulster', 'irish free', 'war', 'united kingdom', 'britain', 'army', 'irish', 'ira']",['Irish neutrality and WWII'],"['irish', 'valera', 'britain', 'belfast', 'ira', 'world war', 'dublin', 'éire', 'republic', 'neutrality']","['war effort ulster war éire neutrality éire emergency end war part relationship labour government introduction welfare state life éire economy britain relation èire britain relation chronology index europe image map europe showing democracy dictatorship communist country britain germany peace even signed naval agreement hitler leader germany pleased later britain germany enemy second world war begun book explain happened tell life irish free state war', 'towards western bloc soviet union want position assembly weakened page lester sean unog library retrieved november yalta conference house oireachtas march retrieved september seems unlikely given yalta held application join un based press speculation membership house oireachtas december retrieved september external link irish volunteer second world war german service archived february wayback machine essay michael kennedy irish service second world war second world war irish time article irish volunteered british force world', 'play fighting second world war irish home guard become issue controversy agricultural industry perform second world war evidence find division within ulster unionist party period impact rationing extension activity contribute war effort discus revision tip positive negative aspect contribution war effort make sure reason emergency neutral éire second world war introduction early april de valera declared aim government policy keep country war war broke dáil recalled éire position neutrality approved even though remained part commonwealth éire dominion go war']",[],[],[]
0,312,0_thing_well_yeah_lot,"['thing', 'well', 'yeah', 'lot', 'actually', 'quite', 'get', 'going', 'sometimes', 'something']","['topic', 'social medium', 'contentious', 'talking', 'social', 'talk', 'controversial', 'thinking', 'community', 'teaching']",['Teaching sensitive topics'],"['teaching', 'people', 'different', 'sort', 'teach', 'view', 'topic', 'kind', 'child', 'issue']","['look use law source try parallel story time keep saying coming back looking point view trying give information possible suppose bit wary topic use vet little bit small laugh right word sure obviously factual topic teaching fact suppose use textbook use powerpoints thing divisive topic want able get thing discus little bit yeah well careful thing use make sure appropriate source right age group well', 'delve thing time actually reflect thing yeah sometimes overwhelmed lot information coming difficult topic trying process whenever obviously going go another minute time going something completely different try whenever going controversial give wee bit time process said hard move minute difficult thing suppose sometimes struggle confidence share opinion little bit lot different factor come yeah yeah', 'main issue u yep e yes find lot got fixed view get view medium get view home never actually questioned thought actually thought well hold minute right forgot yeah e yeah mean young people perhaps transgender might gay give u issue actually young people tolerant issue small minority cause lot lot distress lot problem e yeah sure okay well mean obviously syllabus topic']","['thing', 'well', 'yeah', 'lot', 'actually', 'quite', 'get', 'going', 'sometimes', 'something']","['nt understand educator teach contentious topic constrained within requirement board curriculum explained even contentious town segregation contentious even textbook often issue resolved long way go yet best bet absolutely open oh yes pretty anyone felt delivering instruction contentious topic yeah never thought try yeah primary sure selective element allowed teach teach thing pretty flexible', 'teaching method big end point get make memorial whatever feel make something represent sort represent feeling commemorate lost life quite often make type artwork similar fashion finish topic first world war look cause research project make imovie local war hero local town fought died war great research project option get sort different type teaching method use key stage quite nice love local element love technology ipad making movie stuff', 'ave use quite bit definitely working number textbook make booklet love booklet idea use lot primary source material extract different historian kind idea technique past paper suppose teach trying prepare follow technique set well good actually hm suppose contentious topic trouble aware aware make ha perfectly factual doe sway swing side community', 'e go gcse suppose talking quite bit trouble actually use use textbook obviously tend make make use range material old textbook select excerpt utilise internet utilise bbc bitesize well create love powerpoints use lot obviously connect source material use source material good giving taste back use lot source material quite easily accessible even newspaper headline clipping thing easy access online even couple line somebody memoir thing good', 'ive opposite mean going get argument kind saying taking perspective somebody whole class kind trying let see see viewpoint understand argument rather learning list try order allow alternative view better peer take position hold opposite position within peer group facilitate make sure start shouting slagging mean criticising person rather viewpoint h oh yeah yes yeah argue argument stupid nonsense talking']","[875, 853, 851, 849, 834]"
1,94,1_skill_option_learning_éire,"['skill', 'option', 'learning', 'éire', 'suggestion', 'teaching', 'activity', 'key', 'word', 'capability']","['suggestion teaching', 'teaching learning', 'learning activity', 'supporting curricular', 'teaching', 'curricular skill', 'curriculum', 'thinking skill', 'skill thinking', 'supporting skill']",['Teaching and Learning Skills'],"['skill', 'teaching learning', 'teaching', 'suggestion teaching', 'learning activity', 'skill personal', 'thinking skill', 'activity supporting', 'skill thinking', 'option elaboration']","['elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability second world war cont following explain contribution war effort may helpful provide writing frame help structure response pee point evidence example sm option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability éire neutrality impact relationship war reason de valera policy neutrality attitude people éire towards neutrality response britain éire neutrality benevolent neutrality practice attempt persuade éire enter war reaction britain offer end partition', 'ng de valera perspective group decide best present side argument class discussion reveal argument side related economic war wo comm option elaboration suggestion teaching learning activity supporting skill thinking skill personal capability economic war cont create summary table using following heading term agreement impact term éire britain judgement country better worse term complete summary economic war explain impact economic war economy éire comm sm option elaboration suggestion teaching learning activity supporting skill thinking skill personal capability second world war reaction government outbreak', 'ng de valera perspective group decide best present side argument class discussion reveal argument side related economic war wo comm option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability economic war cont create summary table using following heading term agreement impact term éire britain judgement country better worse term complete summary economic war explain impact economic war economy éire comm sm option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability second world war reaction government']","['skill', 'option', 'learning', 'éire', 'suggestion', 'teaching', 'activity', 'key', 'word', 'capability']","['inking skill personal capability life éire cont pair given consider factor template prompt consider social economic political factor éire period caf completed carousel swap completed template others add process repeated time factor covered plenary involve recording factor board creating single class template wo option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability constitutional change effect relationship éire announcement intention become republic reaction among people éire intention significance league chapel', 'elfare state social impact act receive card particular statement fact relating area move around room comparing statement find connection link statement fact form cluster give cluster heading name example reason establishment welfare state introduce cluster rest class explain formed group class plenary result main finding listed board even class mind map produced card wo wo option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability life éire cont', 'gather knowledge complete learned column response key keep kwl grid displayed referred throughout teaching topic topic plenary sm option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability german attack impact britain éire cont opportunity carry mini historical enquiry impact war life people éire enquiry focus life change war range material used provide help research', 'ing reason choice may require brief historical enquiry éire readiness war look reason neutrality perform swot strength weakness opportunity threat analysis consider heading time strength pair complete quadrant diagram class plenary focus justification de valera policy whilst looking forward potential threat response britain p p option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability éire neutrality impact relationship war cont', 'rope strategic importance since return treaty port éire etc considering issue conscription following explain different attitude conscription list defence measure taken draw comparison chart britain preparation draw upon prior learning engage discussion britain better prepared small group class discus macdermott reform become necessity recording reform introduced discussion include reform viewed little late special difficulty impacted war preparation macdermott frustration attitude politician stormont wo sm p comm option elaboration suggestion teaching learning activity supporting curricular']","[1668, 1667, 1663, 1658, 1655]"
2,82,2_belfast_raid_city_bomb,"['belfast', 'raid', 'city', 'bomb', 'blitz', 'street', 'night', 'fire', 'german', 'target']","['belfast blitz', 'raid belfast', 'belfast suffered', 'bombed', 'belfast', 'bombing', 'dublin', 'german bomber', 'luftwaffe', 'luftwaffe bomber']",['Belfast Blitz Bombing'],"['belfast', 'bomb', 'blitz', 'bomber', 'luftwaffe', 'damage', 'bombing', 'air raid', 'bombed', 'incendiary bomb']","['raid raid luftwaffe belfast april may german started small attack probably test well belfast defended easter tuesday april cloudless night german came irish sea newtownards nearly bomber next morning people dead special focus blitz belfast raid started fire city fireman hardly cope someone stormont government phoned dublin asked de valera help sent thirteen fire engine belfast work alongside belfast fireman may another big raid time german bomber finished people killed belfast harbour shipyard raging inferno german pilot see fire england may smaller raid fourteen people killed', 'th bristol cardiff clydebank coventry dublin hull graveney marsh leeds liverpool manchester plymouth portsmouth sheffield southampton swansea belfast blitz consisted german air raid strategic target city belfast april may second world war causing high casualty first night april small attack probably took place test belfast defence next took place easter tuesday april luftwaffe bomber attacked military manufacturing target city belfast people died result bombing injured high explosive bomb predominated raid apart london greatest loss life night raid blitz third raid belfast took place evening morning may killed incendiary bomb predominated raid', 'war nazi germany way mention must back reason evidence source studied belfast blitz belfast blitz consisted german air raid strategic target city belfast april may second world war causing high casualty first night april small attack probably took place test belfast defence next took place easter tuesday april luftwaffe bomber attacked military manufacturing target city belfast people died result bombing injured high explosive bomb predominated raid apart london greatest loss life night raid blitz third raid belfast took place evening morning may killed incendiary bomb predominated raid']","['belfast', 'raid', 'city', 'bomb', 'blitz', 'street', 'night', 'fire', 'german', 'target']","['limestone whitehouse tram terminus paul cavendish park parade p ormeau embankment avonlsl glenwood upper rign street mark comgall dlvis redan blythe street sandy row templemore templemore fane street p ahley avenue lliburn road north howard lssve greencastle fall shankill anne george victoria winson', 'hemselves seems incredible public air raid shelter entire city stormont distinctive facade painted black foil attack bryce miller remembers scene inside shelter opposing group young protestant catholic took turn singing song sash soldier song bomb rained said deadly silence blast got closer wave strain nearer god thee heard coming entire crowd constable donald fleck duty york street police station ran life parachute mine landed near hollered boy run said fear lends wing jimmy penton still ha vivid memory event earthquake night said ground shook people squealed yelled thought end world sewer rat novelist brian moore ha different memory', 'run away recalled newspaperman jimmy kelly walking home time ground shook people squealed yelled thought end world jimmy penton walking glen road heard sound aircraft coming lisburn direction said next thing air raid siren went knew peculiar phut phut phut sound german air raid warden jimmy doherty patrol night decimated remembers meeting another group warden minute post decimated bomb within minute meeting young men young lady dead said bomb fell people belfast best protect seems incredible public air raid shelter entire city', 'belfast blitz sixty german bombed belfast second world war bbc news online look back remembers anniversary blitz war began belfast city adopted wartime practice rationing blackout reality conflict europe seemed faraway bombing raid home possibility cabinet stormont seemed reluctant prepare luftwaffe heading city later described undefended united kingdom resented spend money civil defence cancelled order equipment city air raid shelter size population lay ahead deadly cargo april belfast devastated bore worst air raid city outside london', 'evening morning may killed incendiary bomb predominated raid fourth final belfast raid took place following night may total house demolished badly damaged nearly slightly damaged required first aid repair background uk preparing conflict factory shipyard belfast gearing belfast considerable contribution towards allied war effort producing naval ship aircraft munition therefore city deemed suitable bombing target luftwaffe unlike irish free state longer part uk leadership éamon de valera declared neutrality second world war']","[2262, 1924, 1923, 1921, 1864]"
3,74,3_catholic_belfast_violence_loyalist,"['catholic', 'belfast', 'violence', 'loyalist', 'protestant', 'special', 'mcmahon', 'city', 'ira', 'august']","['violence belfast', 'belfast catholic', 'belfast', 'ulster', 'ulster special', 'unionist', 'catholic community', 'derry', 'loyalist', 'protestant']",['Sectarian violence in Belfast'],"['belfast', 'violence', 'mcmahon', 'protestant', 'loyalist', 'ulster', 'ruc', 'constabulary', 'catholic community', 'unionist']","['nicholas mansergh unresolved settlement undoing new liam week mícheál ó fathartaigh ed treaty debating establishing irish state newbridge belfast pogrom mcmahon murder introduction backdrop partition intensification war independence south violence erupted belfast early almost people killed city july july unlike rest however violence belfast consisted largely urban rioting almost per cent victim civilian opposed member irish republican army ira security force despite signing truce july violence intensified belfast summer brunt borne local catholic community constituted per cent city population', 'borne local catholic community constituted per cent city population belfast constitutional nationalist hoped policy recognition parliament government result end persecution view entirely step experience catholic area city given event ground january ira launched campaign destabilise attack security force frequently met vicious reprisal loyalist targeted catholic community belfast february ira ambush killing special monaghan led loyalist attack catholic district march situation deteriorated intimidation house burning rioting assassination', 'substance fear put rule unionist majority separate state explain catholic fearful future event summer august violence continued spiral august serious consequence catholic people lisburn chapel hill lisburn robert lynch describes consequence catholic population lisburn sunday swanzy shooting uvf organised serious violence focused catholic community town satisfied previously smashing window catholic business premise home looted burned ric called military support charge local military william hacket pain senior uvf member apart guarding catholic church convent little done military protect catholic people lisburn fled town fear life']","['catholic', 'belfast', 'violence', 'loyalist', 'protestant', 'special', 'mcmahon', 'city', 'ira', 'august']","['efend loyalist take matter hand reorganise defence belfast blamed government feebleness dealing danger posed sinn féin motivating carson deliver militant speech extreme violence resulting death smyth ferment surrounding marching season took place belfast second half july industrial workforce belfast returned place employment monday july day smyth funeral banbridge following summer holiday period coincided july loyalist mob based smaller city shipyard workman clark wee yard orchestrated purge disloyal employee meant catholic socialist workman clark larger harland wolff yard', 'ice munster region lieut col gerald bryce ferguson smyth country club cork city month previously smyth addressed group ric officer listowel co kerry reported present constable jeremiah mee advocated unrestrained policy shooting republican suspect sight promising done impunity regardless whether victim included civilian smyth funeral banbridge co family home july ignited series rioting attack catholic home business predominantly protestant town district including banbridge dromore lisburn', 'g royal irish constabulary north black tan auxiliary south apart south ulster region monaghan newry ira unit respective command eoin duffy frank aiken active throughout period ira north especially around belfast inactive disorganised early part however cumulative effect worsening conflict south eventually impact belfast summer event cork strong reverberation north ostensible reason outbreak intense phase rioting killing july august july contingent cork ira shot dead divisional commissioner police munster region lieut col gerald bryce ferguson smyth country club cork city', 'month mccorley ira unit killed policeman donegall place belfast facing city hall ira active border area matter week established may may craig significant attempt promote peace travelled south meeting éamon de valera sinn féin leader secret location outside dublin however discussion leader produced agreement craig unionist colleague ulster suspicious meeting election parliament took place may june new parliament open june month people killed wounded éamon phoenix tell u starting point cycle violence undoubtedly shooting ric member june ira', 'trainee accountant skilled organiser mccorley committed decisive action involved swanzy killing lisburn august listen carried attack police belfast january march roger mccorley led active service unit shooting dead police officer victoria street belfast close musgrave street barrack less worried fellow ira leader provoking violent reprisal protestant extremist innocent catholic ira plan burn belfast key building called last minute mccorley right show little concern consequence ira action local catholic people unit event belfast april month mccorley ira unit killed policeman donegall place belfast facing city hall']","[1446, 1444, 1443, 1439, 1438]"
4,59,4_max_retries_exceeded_object,"['max', 'retries', 'exceeded', 'object', 'resolve', 'nameresolutionerror', 'nodename', 'errno', 'servname', 'caused']","['httpconnectionpool max', 'httpconnectionpool', 'known httpconnectionpool', 'httpsconnectionpool max', 'httpsconnectionpool', 'caused nameresolutionerror', 'nameresolutionerror', 'nameresolutionerror object', 'failed resolve', 'nodename servname']",['Network Connectivity Errors'],"['exceeded caused', 'retries exceeded', 'object failed', 'failed resolve', 'caused nameresolutionerror', 'nodename servname', 'httpconnectionpool', 'httpconnectionpool max', 'volume volume', 'known httpconnectionpool']","['httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known']","['max', 'retries', 'exceeded', 'object', 'resolve', 'nameresolutionerror', 'nodename', 'errno', 'servname', 'caused']","['httpsconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'al max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known httpsconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known forbidden', 'httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known']","[2030, 2029, 1986, 1983, 1982]"
5,72,5_nationalist_unionist_parliament_government,"['nationalist', 'unionist', 'parliament', 'government', 'election', 'partition', 'act', 'united', 'republic', 'local']","['unionist government', 'unionist nationalist', 'unionist', 'westminster', 'ulster', 'british government', 'parliament', 'council', 'new parliament', 'nationalist']",['Nationalist Unionist Politics'],"['unionist', 'parliament', 'election', 'partition', 'brooke', 'declaration republic', 'dublin', 'united kingdom', 'border', 'local government']","['hat reason nationalist continued call éire free state irish republic unionist fear reaction coalition government clear intention declare republic unionist pledge defiance new threat stormont feared new republic make determined effort end partition brooke rejected dublin offer guarantee unionist province became part united instead unionist government called general election february border issue brooke declared ulster sale called unionist come use vote threat link britain however nationalist ran highest number candidate since candidate standing league candidate well organised financed collection outside church south raising large sum time', 'g league stand raised collection outside church result bitter campaign marred sectarian violence increased share vote seat side brooke used increased support demand british guarantee future within united response act june stated event cease part united kingdom without consent parliament put simply parliament given final word future debate ending partition unionist nationalist hand outraged strongly expressed displeasure act', 'nanced collection outside church south raising large sum time belfast telegraph dubbed chapel gate election politician brooke skilfully exploited issue maximise unionist vote source c outcome unionist nationalist increased share seat share vote divided sectarian election campaign independent labour party lost vote seat heavily brooke stronger position demand permanent british guarantee secured province within united kingdom act westminster response bill became law june act gave stormont government effectively veto political future stated event cease part united kingdom without consent parliament']","['nationalist', 'unionist', 'parliament', 'government', 'election', 'partition', 'act', 'united', 'republic', 'local']","['sed fund nationalist campaign raised collection outside church outcome bitter campaign marred sectarian violence increased share vote seat unionist nationalist although former still controlled stormont brooke used increased support justification demanding british guarantee future within response act june stated event cease part united kingdom without consent house dublin seat irish parliament war neutrality britain', 'dublin objected government claim represented whole fearing correctly republic make determined effort reunite unionist rejected dublin offer reasonable guarantee respect right agree end stormont government pledged defiance declaration republic used border issue justification calling general election february brooke urged unionist vote support continued membership uk source c represented league urged vote favour united election became known gate election money used fund nationalist campaign raised collection outside church south', 'illing compromise issue december tripartite agreement free state britain confirmed existing border scrapped council reaction churchill court settlement welcomed whole area empire brought peace craig equally delighted guaranteed unionist domination county cosgrave damned good bargain cosgrave received economic concession return agreement nationalist felt betrayed isolated resentful point nationalist politician took seat parliament however robert kee writes protestant unionist opinion never rid thought catholic nationalist opposition parliament wanted get rid government get rid deep mistrust existed problem n', 'er taken unit protestant catholic enabled catholic form strong minority parliament strong protected fairly well perhaps near future aid liberal minded protestant get office happens england civilised country catholic see hope anything save ruled time hereditary enemy intolerable state affair sir james craig told friend mine lately induce catholic enter parliament willing give representation proportion number county move right direction', 'e minister brooke called election allow irish people show support nationalist demanded right sit dail north represented refused nationalist felt abandoned resented declaration republic eire politician agreed collection help finance candidate election chapel gate election name given belfast telegraph unionist annoyed eire attempt interfere affair bitter sectarian clash election valid name way economicgeneral recalled britishwar impacted irish free november economy']","[2336, 2335, 1431, 899, 788]"
6,59,6_rule_home_irish_british,"['rule', 'home', 'irish', 'british', 'parliament', 'province', 'party', 'liberal', 'nationalist', 'kingdom']","['established irish', 'irish nationalist', 'war irish', 'independent british', 'century irish', 'nation commonwealth', 'irish free', 'loyal britain', 'ulster', 'british control']",['Irish Home Rule'],"['home rule', 'irish home', 'irish nationalist', 'british rule', 'irish parliamentary', 'province ulster', 'parliamentary party', 'john redmond', 'irish free', 'unionist']","['rt first world war irish nationalist wanted independent british control start twentieth century irish home rule name given process transferring rule british irish hand seemed likely result unionist minority largely protestant population loyal britain british rule began actively resist idea eventually irish home rule granted excluded mainly protestant county province ulster province corner island established continued part united kingdom treaty signed december established irish free state dominion british empire meant irish free state nation commonwealth nation recognised british monarch head state', 'verning nation commonwealth nation recognised british monarch head state use original source lesson find partitioned time period resistance british rule existed hundred irish nationalist majority catholic resisted rule number peaceful violent way start first world war irish nationalist wanted independent british control start twentieth century irish home rule name given process transferring rule british irish hand seemed likely result unionist minority largely protestant population loyal britain british rule began actively resist idea eventually irish home rule granted excluded mainly protestant county province ulster province corner island', 'verning nation commonwealth nation recognised british monarch head state use original source lesson find partitioned suitable resistance british rule existed hundred irish nationalist majority catholic resisted rule number peaceful violent way start first world war irish nationalist wanted independent british control start twentieth century irish home rule name given process transferring rule british irish hand seemed likely result unionist minority largely protestant population loyal britain british rule began actively resist idea eventually irish home rule granted excluded mainly protestant county province ulster province corner island']","['rule', 'home', 'irish', 'british', 'parliament', 'province', 'party', 'liberal', 'nationalist', 'kingdom']","['neral link related change upload file permanent link page information cite page get shortened download qr code download pdf printable version project wikimedia common wikidata item appearance move sidebar hide wikipedia free encyclopedia political campaign cartoon british liberal party politician forced endure stink sir henry cigar irish home rule former prime minister lord rosebery left future prime minister asquith right regarded home rule electoral liability home rule movement irish rialtas dúchais movement campaigned home rule within united kingdom great britain dominant political movement irish nationalism end world war isaac butt founded home government association', 'site start first world war treaty london following correct detail easter rising essential used announced establishment independent irish republic established home rule involved men woman took general post office took place belfast announced establishment independent irish republic established home rule involved men woman took general post office took place belfast political party gained landslide victory december general election conservative leader bonar law labour leader asquith irish parliamentary leader dillon sinn féin leader de valera political party gained landslide victory december general election conservative leader bonar law labour leader asquith irish parliamentary leader dillon sinn féin leader', 'province ulster happy outcome continued threaten civil war john redmond dressed green image john bull dressed red john bull supposed represent political cartoon find artist trying irish home rule advantage disadvantage using political cartoon evidence past source immediately first world war home rule delayed therefore irish nationalist led sinn féin meaning irish republican party took arm british rule become irish war independence fighting treaty finally signed late set term irish free state free direct british rule', 'ly protestant population loyal britain british rule began actively resist idea eventually irish home rule granted excluded mainly protestant county province ulster province corner island established continued part united kingdom treaty signed december established irish free state dominion british empire meant irish free state nation commonwealth nation recognised british monarch head state use original source lesson find partitioned', 'verning nation commonwealth nation recognised british monarch head state use original source lesson find partitioned connection curriculum resistance british rule existed hundred irish nationalist majority catholic resisted rule number peaceful violent way start first world war irish nationalist wanted independent british control start twentieth century irish home rule name given process transferring rule british irish hand seemed likely result unionist minority largely protestant population loyal britain british rule began actively resist idea']","[1785, 1635, 1570, 1550, 1549]"
7,95,7_neutrality_eire_de_valera,"['neutrality', 'eire', 'de', 'valera', 'war', 'churchill', 'german', 'éire', 'invasion', 'neutral']","['war eire', 'churchill war', 'eire neutrality', 'world war', 'allied', 'join war', 'eire government', 'war showed', 'war', 'declared neutrality']","[""Eire's Neutrality in WWII""]","['neutrality', 'churchill', 'neutral', 'eire neutrality', 'britain', 'allied', 'war eire', 'eire government', 'dublin government', 'plan invade']","['war eire small country military immediately declared neutrality return naval port come time since eire oust british remain neutral eire government looked increasing anxiousness hitler invaded took neutral european country since knew irish army hope german invasion fact document war showed hitler genuine plan invade operation called operation green provided springboard invading mainland britain unprotected west coast invasion never happened due german distraction ussr nevertheless de valera refused join war ira began collaborating german eire government cracked hard order anger british provoke strategic invasion', 'war eire small country military immediately declared neutrality return naval port come time since eire oust british remain neutral eire government looked increasing anxiousness hitler invaded took neutral european country since knew irish army hope german invasion fact document war showed hitler genuine plan invade operation called operation green provided springboard invading mainland britain unprotected west coast invasion never happened due german distraction ussr nevertheless de valera refused join war ira began collaborating german eire government cracked hard order anger british provoke strategic invasion', 'war eire small country military immediately declared neutrality return naval port come time since eire oust british remain neutral eire government looked increasing anxiousness hitler invaded took neutral european country since knew irish army hope german invasion fact document war showed hitler genuine plan invade operation called operation green provided springboard invading mainland britain unprotected west coast invasion never happened due german distraction ussr nevertheless de valera refused join war ira began collaborating german eire government cracked hard order anger british provoke strategic invasion']","['neutrality', 'eire', 'de', 'valera', 'war', 'churchill', 'german', 'éire', 'invasion', 'neutral']","['e eire expected able explain neutral eire war neutrality britain practice ccea list word associated experience erg word correct description first ha done became british prime minister may ii sailor victoria cross world iii raf base second world war iv german plan invade britain v port german surrendered', 'shut german japanese embassy dublin prevent leak allied invasion evidence britain keen get eire involved war evidence indicate eire totally neutral second world war problem eire neutrality pose british assess impact war eire using following eire neutrality biased towards ally second world war able explain impact emergency people eire expected able explain neutral eire war', 'eire wanted assert eire unprepared war neutrality britain effect second world war war complacency ready war started september stormont government quick promise support london less evidence thought war might people example administration continued believe province beyond range enemy aircraft appropriate defence measure aerial ground based put source', 'der day britain declared war germany de valera announced eire neutrality source c correctly assumed population support neutrality another way reinforcing eire independence protecting country ravage war source time eire government believing germany far away real threat position invest amount money needed bring irish army lyon meaning eire neutrality adapted outward visible sign absolute sovereignty free choose peace war mark independence free choose peace british war demonstrated world complete independence war neutrality britain declared september', 'ally strategically necessary invade south done due mainly significant strategic role played possibility revealed speech delivered churchill war condemned de valera role whilst praising part played de valera used response score palpable hit asked churchill heart generosity acknowledge small nation stood alone several hundred aggression create spider diagram showing eire neutrality biased towards']","[2311, 2310, 2255, 2250, 767]"
8,57,8_welfare_labour_housing_health,"['welfare', 'labour', 'housing', 'health', 'government', 'house', 'state', 'introduction', 'reform', 'service']","['introduction welfare', 'labour government', 'welfare', 'national health', 'labour', 'worried labour', 'welfare state', 'service nh', 'health service', 'reform']",['Welfare State Reform'],"['welfare', 'welfare state', 'housing', 'labour government', 'national health', 'reform', 'stormont', 'introduction welfare', 'shortage', 'nh']","['ear e national health service came operation july despite initial opposition rom concerned cost term increased taxation doctor earing impact independence private income nh major ostly success greatly benefited public health create spider diagram illustrating problem new labour government complete following table explain implementation labour key welfare state need welfare state impacted', 'collins explains welfare state financed north afford welfare state reform unionist government agreement london britain subsidise subsidy allowed government give citizen far higher health care social service otherwise need worried labour government demonstrated gratitude contribution war effort helping cover cost introduction welfare state source b result improvement effected range biggest development introduction health service similar programme initiated britain new system came online took root quickly', 'nd priority given building council house worker rather private housing however people still remained homeless used temporary housing prefab orlit home national health service national health service bill introduced parliament people opposed plan create national health service nh cost required run doctor resisted plan feared loss independence private income despite delay opposition nh came operation july major success greatly benefited public health britain implementation welfare state labour government promise build welfare state eventually major impact upon']","['welfare', 'labour', 'housing', 'health', 'government', 'house', 'state', 'introduction', 'reform', 'service']","['collins explains welfare state financed north afford welfare state reform unionist government agreement london britain subsidise subsidy allowed government give citizen far higher health care social service otherwise need worried labour government demonstrated gratitude contribution war effort helping cover cost introduction welfare state source b result improvement effected range biggest development introduction health service similar programme initiated britain new system came online took root quickly', 'mprovementnational health give reason welfare state date eire declared anorthern viewed withrepublic right london governmentnationalists demand aftermathsubsidise introduction theof declaration republic welfare state name organisation set toireland general election known oversee introduction main term act act', 'thern contribution war effort subsidising introduction welfare state nh came operation following saw improvement family allowance national assistance health service including campaign tb polio pension however reform make stormont financially dependent impact war worsened already serious housing shortage estimated per cent home unfit purpose new home required housing trust established oversee construction massive undertaking took decade complete even discrepancy manner allocation meant benefited change introduced sector act', 'ern need welfare state impacted need able explain initial fear expressed reformed well worried labour policy might mean unionist business leader feared implication nationalisation meanwhile apart suspicion socialism government feared loss power centralising government wondered finance introduction similar need worried labour government demonstrated gratitude contribution war effort subsidising introduction welfare state', 'ear e national health service came operation july despite initial opposition rom concerned cost term increased taxation doctor earing impact independence private income nh major ostly success greatly benefited public health create spider diagram illustrating problem new labour government complete following table explain implementation labour key welfare state need welfare state impacted']","[2320, 797, 775, 774, 773]"
