Topic,Count,Name,Representation,KeyBERT,OpenAI,MMR,Representative_Docs
-1,73,-1_library_software_archive_website,"['library', 'software', 'archive', 'website', 'image', 'search', 'design', 'web', 'project', 'featured']","['audio', 'podcasts', 'music', 'radio', 'library', 'text', 'software', 'archive', 'icon illustration', 'image library']",['Digital Archive Resources'],"['library', 'archive', 'website', 'design', 'national archive', 'art', 'bristol', 'icon illustration', 'grizzly', 'web design']","['earch icon illustration magnifying glass search icon illustration magnifying glass internet archive audio live music archive librivox free audio featured audio grateful dead netlabels old time radio rpm cylinder recording top audio book poetry computer technology science music art culture news public affair spirituality religion podcasts radio news archive image metropolitan museum cleveland museum art featured image flickr common occupy wall street flickr cover art usgs map top nasa image solar system collection ames research center software internet arcade console living room featured software old emulation game historical software classic pc game software library top kodi archive support file vintage software apk software software library software site tucows software library shareware software capsule compilation image zx spectrum doom cd text open', 'earch icon illustration magnifying glass search icon illustration magnifying glass internet archive audio live music archive librivox free audio featured audio grateful dead netlabels old time radio rpm cylinder recording top audio book poetry computer technology science music art culture news public affair spirituality religion podcasts radio news archive image metropolitan museum cleveland museum art featured image flickr common occupy wall street flickr cover art usgs map top nasa image solar system collection ames research center software internet arcade console living room featured software old emulation game historical software classic pc game software library top kodi archive support file vintage software apk software software library software site tucows software library shareware software capsule compilation image zx spectrum doom cd text open', 'e vintage software apk software software library software site tucows software library shareware software capsule compilation image zx spectrum doom cd text open library american library featured text smithsonian library fedlink u genealogy lincoln collection top american library canadian library universal library project gutenberg child library biodiversity heritage library book language additional collection video tv news understanding featured video prelinger archive democracy occupy wall street tv nsa clip library top animation cartoon art music computer technology cultural academic film ephemeral film movie news public affair spirituality religion sport video television videogame video vlogs youth medium search web page internet search wayback machine search icon illustration magnifying glass']"
0,1542,0_irish_war_government_british,"['irish', 'war', 'government', 'british', 'state', 'britain', 'belfast', 'valera', 'free', 'source']","['irish free', 'ulster', 'irish', 'unionist', 'independence', 'united kingdom', 'sinn féin', 'féin', 'nationalist', 'dublin']",['Irish Free State'],"['irish', 'government', 'britain', 'belfast', 'ira', 'free state', 'dublin', 'eire', 'unionist', 'ulster']","['madden mcbride ccea gcse chapter page peace war neutrality britain second world war unit relation second world war background partition introduction saw significant change relationship britain british rule within separate distinct state irish free state remained part united kingdom irish free state gained large degree independence britain home rule britain liberal government promised introduce home rule establish parliament dublin look internal affair time remain part united kingdom home rule goal nationalist politician almost century', 'rt first world war irish nationalist wanted independent british control start twentieth century irish home rule name given process transferring rule british irish hand seemed likely result unionist minority largely protestant population loyal britain british rule began actively resist idea eventually irish home rule granted excluded mainly protestant county province ulster province corner island established continued part united kingdom treaty signed december established irish free state dominion british empire meant irish free state nation commonwealth nation recognised british monarch head state', 'e british government attacked killed armed nationalist group sparked war following war independence waged irish republican army ira british security force july truce declared october official british government dáil began discussion london ultimately resulted signing treaty december british soldier defending wall irish war independence treaty treaty known treaty ceased irish war independence agreement signed december london official british government conducted prime minister david lloyd george leader irish republic notably michael collins arthur griffith allowed irish free state become within referred dominion status']"
1,422,1_thing_yeah_teaching_lot,"['thing', 'yeah', 'teaching', 'lot', 'actually', 'people', 'quite', 'going', 'good', 'class']","['topic', 'suggestion teaching', 'teaching', 'discussion', 'curriculum', 'teaching learning', 'teach', 'thinking skill', 'learning activity', 'taught']",['Teaching controversial issues'],"['teaching', 'lot', 'people', 'class', 'learning', 'teach', 'topic', 'view', 'parent', 'issue']","['look use law source try parallel story time keep saying coming back looking point view trying give information possible suppose bit wary topic use vet little bit small laugh right word sure obviously factual topic teaching fact suppose use textbook use powerpoints thing divisive topic want able get thing discus little bit yeah well careful thing use make sure appropriate source right age group well', 'easier sometimes take story raised run yeah probably said already using multiple source using multiple different type source whenever try give chance look lot different side video article book people opinion thing trying break thing get look proper looking thing doe source come different thing whenever controversial issue within r definitely looking lot lot different point view experience within teaching career people quite happy let professional go see happens', 'ep child class sometimes parent want child situation talk tell looking side topic discussion sometimes work sometimes parent mind want let child engage issue yeah sometimes successful sometimes yeah definitely due nature become focused result getting whether external gcse whether raising achievement key stage good thing mean whenever teaching controversial issue limited time take time talk point view different thing']"
2,35,2_tag_lesson_postwar_victorian,"['tag', 'lesson', 'postwar', 'victorian', 'workshop', 'focussed topic', 'focussed', 'themed', 'interwar', 'collection']","['tag victorian', 'topic interwar', 'topic', 'concentration camp', 'armistice', 'focussed topic', 'victorian', 'tag focussed', 'postwar', 'tag']",['Historical Education Workshops'],"['lesson', 'victorian', 'themed', 'collection', 'tag focussed', 'medieval', 'dictionary', 'online workshop', 'document', 'topic interwar']","['n focussed topic session teach black victorian document reveal life black people victorian britain tag online workshop victorian workshop black asian minority ethnic tag workshop focussed topic interwar lesson medieval postwar themed collection victorian body snatcher led anatomy act tag victorian lesson victorian bound britain experience immigration uk tag hook starter lesson postwar britain tag focussed topic british battle tag focussed topic postwar', 'e belfast good friday agreement key stage lesson tag lesson postwar victorian prison victorian prison tough tag lesson victorian abolition slavery tag focussed topic adolf hitler hitler lunatic tag interwar lesson african nurse part play british health service tag lesson postwar board learn old board game tag lesson victorian session teach pal together meet tommy henry fairhurst tag online workshop archive live pack tag online workshop lesson armistice', 'british find entered belsen concentration camp tag lesson discussion activity conflict peace tag lesson postwar black presence tag focussed topic session teach black victorian document reveal life black people victorian britain tag online workshop victorian workshop black asian minority ethnic tag workshop focussed topic interwar lesson medieval postwar themed collection victorian body snatcher led anatomy act tag victorian']"
3,28,3_exceeded caused_exceeded_nodename_nodename servname,"['exceeded caused', 'exceeded', 'nodename', 'nodename servname', 'object', 'servname provided', 'servname', 'provided known', 'errno nodename', 'errno']","['httpconnectionpool max', 'forbidden httpconnectionpool', 'httpconnectionpool', 'httpsconnectionpool max', 'connect httpconnectionpool', 'caused nameresolutionerror', 'known httpconnectionpool', 'nameresolutionerror', 'connectionreseterror', 'httpsconnectionpool']",['Network Resolution Errors'],"['nodename', 'nodename servname', 'errno nodename', 'retries exceeded', 'failed resolve', 'caused nameresolutionerror', 'httpconnectionpool', 'httpconnectionpool max', 'known httpconnectionpool', 'httpsconnectionpool']","['httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'ttps httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known']"
4,23,4_icon_icon illustration_illustration_wayback,"['icon', 'icon illustration', 'illustration', 'wayback', 'wayback machine', 'machine', 'search', 'donate', 'internet', 'text']","['wayback machine', 'machine text', 'text icon', 'window wayback', 'wayback', 'text', 'computer application', 'icon', 'icon illustration', 'ellipsis icon']",['Internet Archive Illustrations'],"['icon', 'icon illustration', 'text', 'heart shape', 'illustration heart', 'donate icon', 'illustration magnifying', 'magnifying glass', 'job volunteer', 'shape donate']","['tration computer application window wayback machine text icon illustration open book text video icon illustration cell film strip video audio icon illustration audio speaker audio software icon illustration floppy disk software image icon illustration photograph image donate icon illustration heart shape donate ellipsis icon illustration text ellipsis donate icon illustration heart shape donate archive user icon illustration person head chest sign log upload icon illustration horizontal line pointing arrow upload search icon illustration magnifying glass search icon illustration magnifying glass', 'tration computer application window wayback machine text icon illustration open book text video icon illustration cell film strip video audio icon illustration audio speaker audio software icon illustration floppy disk software image icon illustration photograph image donate icon illustration heart shape donate ellipsis icon illustration text ellipsis donate icon illustration heart shape donate archive user icon illustration person head chest sign log upload icon illustration horizontal line pointing arrow upload search icon illustration magnifying glass search icon illustration magnifying glass', 'wayback machine ask publisher restore access book hamburger icon icon used represent menu toggled interacting icon internet archive logo line drawing internet archive headquarters building web icon illustration computer application window wayback machine text icon illustration open book text video icon illustration cell film strip video audio icon illustration audio speaker audio software icon illustration floppy disk software image icon illustration photograph image donate icon illustration heart shape donate ellipsis icon illustration text ellipsis donate icon illustration heart shape donate archive user icon illustration person head chest sign log upload icon illustration horizontal line pointing arrow']"
5,20,5_debate_committee_oireachtas_dáil,"['debate', 'committee', 'oireachtas', 'dáil', 'parliament', 'parliamentary', 'schedule', 'search', 'vote', 'seanad']","['debate dáil', 'dáil éireann', 'vote dáil', 'dáil debate', 'parliament', 'parliamentary', 'constituency', 'éireann', 'committee committee', 'senator']",['Parliamentary processes and debates'],"['debate', 'committee', 'oireachtas', 'parliament', 'schedule', 'senator', 'search tip', 'dáil éireann', 'freedom information', 'debate dáil']","['laid international parliamentary relation freedom information parliament run election open data working parliament gaeilge reader view listen gaeilge reader view listen press centre contact u bill act debate tds senator committee visit learn oireachtas tv press centre detailed schedule publication document laid international parliamentary relation freedom information parliament run election open data working parliament search dáil éireann debate saturday jan vol debate treaty debate find debate dáil éireann debate saturday jan debate treaty share page debate find debate dáil debate seanad debate committee debate find vote dáil vote seanad vote committee vote parliamentary written oral search tip utterance adverse effect debate treaty back table dr', 'oral transport fish dáil éireann dáil thursday dec house oireachtas skip main normal view clear search search close search search home bill act find bill act search tip debate find debate dáil debate seanad debate committee debate find vote dáil vote seanad vote committee vote parliamentary written oral search tip utterance adverse effect tds senator find td find senator office holder ceann comhairle comhairle cathaoirleach register member interest salary allowance salary parliamentary standard allowance allowance scheme secretarial assistance committee committee schedule committee making submission public consultation guidance appearing oireachtas committee financial scrutiny visit learn visit oireachtas virtual', 'act search tip debate find debate dáil debate seanad debate committee debate find vote dáil vote seanad vote committee vote parliamentary written oral search tip utterance adverse effect tds senator find td find senator office holder ceann comhairle comhairle cathaoirleach register member interest salary allowance salary parliamentary standard allowance allowance scheme secretarial assistance committee committee schedule committee making submission public consultation guidance appearing oireachtas committee financial scrutiny visit learn visit oireachtas virtual tour get involved parliament work role oireachtas law voting parliamentary rule budget building parliament building historical document glossary primary junior cycle senior']"
6,19,6_churchill_donate_page_sidebar hide,"['churchill', 'donate', 'page', 'sidebar hide', 'hide', 'sidebar', 'view', 'member', 'membership', 'edit']","['community portal', 'sidebar', 'menu', 'contribute', 'main menu', 'edit community', 'national archive', 'special page', 'visit', 'subsection']",['Wikipedia navigation issues'],"['churchill', 'page', 'sidebar hide', 'hide', 'sidebar', 'member', 'national archive', 'account log', 'donation', 'toggle']","['nodename servname provided known county wikipedia jump main menu main menu move sidebar hide navigation main page current event random article wikipedia contact u contribute help learn edit community portal recent change upload file special page search search appearance donate create account log personal tool donate create account log page logged editor learn contribution talk move sidebar hide top county origin barony government modern usage lieutenancy area former county see footnote reference toggle reference subsection citation', 'erence get involved join event visit member benefit gift subscription term condition site pixelstorm copyright international churchill society right reserved join today join international churchill society today membership start file wikipedia jump main menu main menu move sidebar hide navigation main page current event random article wikipedia contact u contribute help learn edit community portal recent change upload file special page search search appearance donate create account log personal tool donate create account log page logged editor learn contribution talk file add language page supported language', 'pl adoption constitution wikipedia jump main menu main menu move sidebar hide navigation main page current event random article wikipedia contact u contribute help learn edit community portal recent change upload file special page search search appearance donate create account log personal tool donate create account log page logged editor learn contribution talk move sidebar hide top background toggle background subsection constitution']"
7,19,7_website_criterion_cooky_success,"['website', 'criterion', 'cooky', 'success', 'accessibility', 'use', 'service', 'search', 'page', 'discovery']","['website cooky', 'website search', 'search website', 'improvement website', 'service information', 'use service', 'service search', 'guidance service', 'search shop', 'website work']",['Website Accessibility Services'],"['criterion', 'accessibility', 'discovery', 'website cooky', 'accessible', 'attribute', 'search discovery', 'website search', 'accessibility statement', 'using']","['website us cooky place essential cooky device make website work use additional cooky remember setting understand use service information help u make improvement website set cookie preference skip main menu visit explore collection help using archive professional guidance service search shop search website search discovery catalogue search website search discovery catalogue home session session taught session online cover variety time period place contain structured investigation use directly others suited research preparation allow access unique collection', 'servname provided known session national archive website us cooky place essential cooky device make website work use additional cooky remember setting understand use service information help u make improvement website set cookie preference skip main menu visit explore collection help using archive professional guidance service search shop search website search discovery catalogue search website search discovery catalogue home session session taught session online cover variety time period place contain structured investigation use directly', 'session national archive website us cooky place essential cooky device make website work use additional cooky remember setting understand use service information help u make improvement website set cookie preference skip main menu visit explore collection help using archive professional guidance service search shop search website search discovery catalogue search website search discovery catalogue home session session taught session online cover variety time']"
8,16,8_exceeded caused_retries exceeded_max_max retries,"['exceeded caused', 'retries exceeded', 'max', 'max retries', 'retries', 'exceeded', 'nameresolutionerror', 'caused nameresolutionerror', 'httpconnectionpool max', 'caused']","['caused nameresolutionerror', 'nameresolutionerror', 'nameresolutionerror object', 'exceeded caused', 'httpconnectionpool max', 'httpconnectionpool', 'policy httpconnectionpool', 'failed resolve', 'retries exceeded', 'exceeded']",['Technical Errors'],"['exceeded caused', 'retries exceeded', 'nameresolutionerror', 'caused nameresolutionerror', 'httpconnectionpool max', 'object failed', 'failed resolve', 'errno nodename', 'nodename servname', 'national archive']","['pyright right reserved privacy policy httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known blitz belfast learning site explore advanced ancient rome medieval england tudor england stuart england nazi germany world war world war contact search result', 'e cite source please help improve section adding citation reliable source unsourced material may challenged removed june learn remove message former conservative barrister isaac butt w httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known', 'clear craig unionist intimidated accepting united result determined effort unionist idea abandoned lloyd george delegation httpconnectionpool max retries exceeded caused nameresolutionerror object failed resolve errno nodename servname provided known']"
