Topic,Count,Name,Representation,KeyBERT,OpenAI,MMR,Representative_Docs,top_words,raw_content_samples,sample_indices
-1,253,-1_irish_war_ccea_madden,"['irish', 'war', 'ccea', 'madden', 'website', 'britain', 'world', 'episode', 'state', 'government']","['sinn féin', 'ulster', 'féin', 'irish free', 'british government', 'unionist', 'irish', 'ira', 'independence', 'nationalist']",['Irish Independence Movement'],"['irish', 'ira', 'valera', 'britain', 'belfast', 'dublin', 'treaty', 'free state', 'army', 'republic']","['art member state great britain selfgoverning state southern called irish free state today known republic irish partition took place may government act following discussion fighting home rule despite plan keep part within united kingdom southern part country seceded irish war independence part opted retain tie united kingdom irish movement home rule crisis national movement act union abolished irish parliament dublin brought unification kingdom great britain kingdom resulted formation united kingdom great britain century irish people fought british control', 'e british government attacked killed armed nationalist group sparked war following war independence waged irish republican army ira british security force july truce declared october official british government dáil began discussion london ultimately resulted signing treaty december british soldier defending wall irish war independence treaty treaty known treaty ceased irish war independence agreement signed december london official british government conducted prime minister david lloyd george leader irish republic notably michael collins arthur griffith allowed irish free state become within referred dominion status', 'madden mcbride ccea gcse chapter page peace war neutrality britain second world war unit relation second world war background partition introduction saw significant change relationship britain british rule within separate distinct state irish free state remained part united kingdom irish free state gained large degree independence britain home rule britain liberal government promised introduce home rule establish parliament dublin look internal affair time remain part united kingdom home rule goal nationalist politician almost century']",[],[],[]
0,422,0_thing_well_yeah_teaching,"['thing', 'well', 'yeah', 'teaching', 'lot', 'actually', 'get', 'quite', 'going', 'people']","['topic', 'discussion', 'suggestion teaching', 'thinking skill', 'teaching', 'learning activity', 'curriculum', 'teaching learning', 'teach', 'thinking']",['Teaching controversial topics'],"['teaching', 'lot', 'people', 'class', 'learning', 'teach', 'sort', 'topic', 'view', 'thinking']","['look use law source try parallel story time keep saying coming back looking point view trying give information possible suppose bit wary topic use vet little bit small laugh right word sure obviously factual topic teaching fact suppose use textbook use powerpoints thing divisive topic want able get thing discus little bit yeah well careful thing use make sure appropriate source right age group well', 'delve thing time actually reflect thing yeah sometimes overwhelmed lot information coming difficult topic trying process whenever obviously going go another minute time going something completely different try whenever going controversial give wee bit time process said hard move minute difficult thing suppose sometimes struggle confidence share opinion little bit lot different factor come yeah yeah', 'ep child class sometimes parent want child situation talk tell looking side topic discussion sometimes work sometimes parent mind want let child engage issue yeah sometimes successful sometimes yeah definitely due nature become focused result getting whether external gcse whether raising achievement key stage good thing mean whenever teaching controversial issue limited time take time talk point view different thing']","['thing', 'well', 'yeah', 'teaching', 'lot', 'actually', 'get', 'quite', 'going', 'people']","['en list outcome relevant outcome closer place centre pair mini group present finding class plenary lead full class debrief create agreed class wheel consequence event record comm p option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability constitutional change effect relationship cont conduct role play class give source read contains identity opinion declaration using hotseating strategy invite interviewed concerning particular opinion reveal identity', 'inking skill personal capability life éire cont pair given consider factor template prompt consider social economic political factor éire period caf completed carousel swap completed template others add process repeated time factor covered plenary involve recording factor board creating single class template wo option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability constitutional change effect relationship éire announcement intention become republic reaction among people éire intention significance league chapel', 'elfare state social impact act receive card particular statement fact relating area move around room comparing statement find connection link statement fact form cluster give cluster heading name example reason establishment welfare state introduce cluster rest class explain formed group class plenary result main finding listed board even class mind map produced card wo wo option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability life éire cont', 'gather knowledge complete learned column response key keep kwl grid displayed referred throughout teaching topic topic plenary sm option elaboration suggestion teaching learning activity supporting curricular skill thinking skill personal capability german attack impact britain éire cont opportunity carry mini historical enquiry impact war life people éire enquiry focus life change war range material used provide help research', 'ting curricular skill thinking skill personal capability irish free state éire cont pair devise living graph indicating relative importance achieving independence important event higher graph event may appear present graph class draw comparison produce diagram placing various term constitution particular zone relevance relating size impact relation éire diagram éire britain diagram plenary discussion focus difference diagram reason provided range source contemporary period highlighting different perspective new constitution british perspective perspective commonwealth perspective']","[1537, 1534, 1533, 1529, 1511]"
1,106,1_belfast_raid_city_bomb,"['belfast', 'raid', 'city', 'bomb', 'street', 'shelter', 'air', 'night', 'blitz', 'people']","['belfast blitz', 'raid belfast', 'belfast suffered', 'belfast', 'bombed', 'bombing', 'dublin', 'bomb dropped', 'german bomber', 'luftwaffe']",['Belfast Blitz Attacks'],"['belfast', 'street', 'shelter', 'blitz', 'luftwaffe', 'air raid', 'bomber', 'damaged', 'casualty', 'bombing']","['attack part uk far away install shelter however wrong german eye contributing war effort therefore target rest uk several night mainly night april german bomber pounded belfast derry hundred tonne explosive killing people destroying thousand building making people homeless largely due lack shelter belfast suffered casualty uk city except london despite irish neutrality fire brigade dundalk drogheda dublin assisted blitz people united across politics fear fled country wealthier people lived hotel eire blitz eire get totally set lost german bomber mistook cork cardiff bombed', 'th bristol cardiff clydebank coventry dublin hull graveney marsh leeds liverpool manchester plymouth portsmouth sheffield southampton swansea belfast blitz consisted german air raid strategic target city belfast april may second world war causing high casualty first night april small attack probably took place test belfast defence next took place easter tuesday april luftwaffe bomber attacked military manufacturing target city belfast people died result bombing injured high explosive bomb predominated raid apart london greatest loss life night raid blitz third raid belfast took place evening morning may killed incendiary bomb predominated raid', 'war nazi germany way mention must back reason evidence source studied belfast blitz belfast blitz consisted german air raid strategic target city belfast april may second world war causing high casualty first night april small attack probably took place test belfast defence next took place easter tuesday april luftwaffe bomber attacked military manufacturing target city belfast people died result bombing injured high explosive bomb predominated raid apart london greatest loss life night raid blitz third raid belfast took place evening morning may killed incendiary bomb predominated raid']","['belfast', 'raid', 'city', 'bomb', 'street', 'shelter', 'air', 'night', 'blitz', 'people']","['believe eye approached target stared silently sea flame none u seen belfast large number fire enormous fire spread entire harbour industrial told belfast suffered relatively speaking luftwaffe attack british city least point source b death resulted raid april greater number death resulting single raid elsewhere uk reason already highlighted stormont government failure prepare properly possible air poor defence part suffered although scale', 'playing role reason luftwaffe visited belfast time april may may source page war neutrality britain abt dezember karte conns mette ziolhohe uber nn ir bl ni u map showing key target von kuhren german journalist reporting impression blitz may adapted believe eye approached target', 'evening morning may killed incendiary bomb predominated raid fourth final belfast raid took place following night may total house demolished badly damaged nearly slightly damaged required first aid repair background uk preparing conflict factory shipyard belfast gearing belfast considerable contribution towards allied war effort producing naval ship aircraft munition therefore city deemed suitable bombing target luftwaffe unlike irish free state longer part uk leadership éamon de valera declared neutrality second world war', 'th bristol cardiff clydebank coventry dublin hull graveney marsh leeds liverpool manchester plymouth portsmouth sheffield southampton swansea belfast blitz consisted german air raid strategic target city belfast april may second world war causing high casualty first night april small attack probably took place test belfast defence next took place easter tuesday april luftwaffe bomber attacked military manufacturing target city belfast people died result bombing injured high explosive bomb predominated raid apart london greatest loss life night raid blitz third raid belfast took place evening morning may killed incendiary bomb predominated raid', 'city centre crowd enormous filling street around city hall donegal place although almost eighteen age never public bar friend however appeared experience frequenting premise followed castle bar beside classic cinema inexperience quickly revealed slightest idea type drink ask assure problem ha arisen since suppose go recalling event anecdote recollection trigger another hope thought interest copyright contributed archive rest author find use back top story ha placed following category recommended story story photo site created user member public']","[2143, 2142, 2009, 2008, 1866]"
2,75,2_catholic_belfast_violence_loyalist,"['catholic', 'belfast', 'violence', 'loyalist', 'special', 'mcmahon', 'ira', 'murder', 'city', 'ruc']","['violence belfast', 'belfast ira', 'belfast early', 'belfast catholic', 'belfast', 'ulster', 'ulster special', 'unionist', 'loyalist mob', 'loyalist']",['Belfast violence dynamics'],"['belfast', 'protestant', 'constabulary', 'ulster', 'catholic community', 'attack', 'smyth', 'violence belfast', 'ric', 'unionist']","['murder served rallying point catholic community alarmed ever part united kingdom minority status catholic derived crude demographic arithmetic partition mcmahon right citizenship assured protected political leader london discussion extent doe extract support view mcmahon murder widely condemned extract tell u role class religion belfast particular event serve rallying point catholic community doe extract present different perspective cause violence belfast subsequent measure taken british government government dublin address violence belfast discussion topic mcmahon murder complicate understanding violence belfast early accurate term pogrom describe', 'nicholas mansergh unresolved settlement undoing new liam week mícheál ó fathartaigh ed treaty debating establishing irish state newbridge belfast pogrom mcmahon murder introduction backdrop partition intensification war independence south violence erupted belfast early almost people killed city july july unlike rest however violence belfast consisted largely urban rioting almost per cent victim civilian opposed member irish republican army ira security force despite signing truce july violence intensified belfast summer brunt borne local catholic community constituted per cent city population', 'g smyth parkinson estimate people killed within space day belfast ira consequence violence resurgence belfast ira although appears inherent tension old guard ira leadership pogrom recruit historian dispute extent ira acted defender catholic community assault agreement event summer motivated belfast ira greater activity enemy due part perhaps existence new enemy shape ulster special constabulary new force formed latter half deal summer violence recruited largely loyalist community included number former ulster volunteer']","['catholic', 'belfast', 'violence', 'loyalist', 'special', 'mcmahon', 'ira', 'murder', 'city', 'ruc']","['gely loyalist community included number former ulster volunteer permanent b special develop particularly notorious reputation sectarian violence catholic last till disbandment use term pogrom describe event belfast remains controversial disputed robert lynch alan parkinson see defining systematic murder larger number religious minority given area whereas death toll belfast comparatively smaller number killed active ira defender including john neill kieran glennon argue describes appropriately witnessed experienced contemporary viewed description event pogrom associated fr john hassan priest attached st mary chapel lane belfast john neill identifies hassan', 'began nurture grievance perceived expropriation former job catholic first wave violence resulting killing smyth beginning abate killing another policeman linked event far south cork led renewed round attack belfast catholic fatal consequence july conflagration august ric district inspector oswald ross swanzy shot dead centre lisburn co antrim joint operation conducted cork belfast ira acted direction michael collins believed swanzy charge police party shot dead lord mayor cork tomás maccurtain home earlier march swanzy death sparked rioting lisburn belfast mirrored reaction killing smyth parkinson estimate people killed within space day', 'ice munster region lieut col gerald bryce ferguson smyth country club cork city month previously smyth addressed group ric officer listowel co kerry reported present constable jeremiah mee advocated unrestrained policy shooting republican suspect sight promising done impunity regardless whether victim included civilian smyth funeral banbridge co family home july ignited series rioting attack catholic home business predominantly protestant town district including banbridge dromore lisburn', 'g royal irish constabulary north black tan auxiliary south apart south ulster region monaghan newry ira unit respective command eoin duffy frank aiken active throughout period ira north especially around belfast inactive disorganised early part however cumulative effect worsening conflict south eventually impact belfast summer event cork strong reverberation north ostensible reason outbreak intense phase rioting killing july august july contingent cork ira shot dead divisional commissioner police munster region lieut col gerald bryce ferguson smyth country club cork city', 'month mccorley ira unit killed policeman donegall place belfast facing city hall ira active border area matter week established may may craig significant attempt promote peace travelled south meeting éamon de valera sinn féin leader secret location outside dublin however discussion leader produced agreement craig unionist colleague ulster suspicious meeting election parliament took place may june new parliament open june month people killed wounded éamon phoenix tell u starting point cycle violence undoubtedly shooting ric member june ira']","[1317, 1315, 1310, 1309, 1305]"
3,60,3_economic_farmer_war_economy,"['economic', 'farmer', 'war', 'economy', 'britain', 'crop', 'annuity', 'rationing', 'lack', 'production']","['irish economy', 'economic war', 'war economic', 'economy', 'relation britain', 'economic', 'cause economic', 'irish free', 'wartime', 'irish farmer']",['Economic impact of war'],"['economic', 'economic war', 'farmer', 'economy', 'war', 'smuggling', 'produce', 'irish', 'shortage', 'tea']","['collins writing economic war attempt get failed agricultural export britain still mainstay british irish economic war led deterioration dublin relation london belfast source c economically greater impact irish economy british economy however evidence unemployment britain increase somewhat result economic war britain market good hand quite possible story taking wrong turning perfectly true cartoon published economic war comment humorously increase smuggling', 'seen north strategy destroy treaty settlement reopen unity historian kennedy describes reaction economic war land annuity de valera decide stop paying money british government economic step taken side begin economic war way de valera hope economic war benefit free state economy correct explain impact economic war following heading irish economy relation britain relation extension activity de valera make mistake starting economic war extend de valera political economic aim economic war revision tip examiner expect able explain reason economic war started impact free state economy relation within british isle', 'hand lack coal uk result period growth local peat british irish economic war led deterioration irish relation economically greater impact irish economy british economy although evidence unemployment britain increase result economic war great britain market good economic prosperity built upon strong crossborder trade free state however farmer chance provide britain good longer supplied irish free constitution bunreacht na de valera introduced new constitution bunreacht na heireann']","['economic', 'farmer', 'war', 'economy', 'britain', 'crop', 'annuity', 'rationing', 'lack', 'production']","['border smuggling eased shortage others solution buy good black fortune industrial economy quite impressive agricultural sector first war output hit best illustrated examining performance largest company war harland merchant ship repaired converted million aircraft short stirling sunderland flying aircraft repair', 'section wartime economy increasing demand britain food amount land used growing crop increased per number allotment increased fourfold war number cattle poultry increased significantly chicken responsible providing britain per cent egg along egg britain received sheep cattle dairy produce scotland received litre milk result ulster farmer grew main reason impressive performance christened continued availability increase', 'reason economic war started impact economy peace war neutrality britain constitution bunreacht na de valera important break irish free state introducing new constitution bunreacht na heireann source included significant change irish free state constitution irish free state henceforth known title head government head state whose duty mainly ceremonial title president position decided election held every douglas hyde gaelic scholar elected first president bunreacht na heireann irish constitution', 'seen north strategy destroy treaty settlement reopen land annuity de valera decide stop paying money british government economic step taken side begin economic war way de valera hope economic war benefit free state economy correct explain impact economic war following irish british irish de valera make mistake starting economic war expect able reason economic war started impact economy island', 'ness economic situation de valera simply blame british starting source war neutrality britain valera commenting importance economic war november british government succeed beating u fight freedom every step threaten force obey british involved whether irish nation going free standoff known economic war continued although side seemed indicate willingness improve relation agreeing pact trade essential commodity per cent irish export went britain economic war significant impact']","[2138, 2136, 2080, 2079, 2073]"
4,71,4_irish_state_free_treaty,"['irish', 'state', 'free', 'treaty', 'dominion', 'independence', 'british', 'republic', 'independent', 'allegiance']","['irish delegation', 'irish free', 'independence britain', 'allegiance british', 'dominion british', 'british delegation', 'statute westminster', 'féin', 'treaty', 'oath allegiance']",['Irish Free State Formation'],"['free state', 'irish free', 'treaty', 'independence', 'oath allegiance', 'delegate', 'republic', 'lloyd george', 'civil war', 'boundary commission']","['eland secede united kingdom form irish free state province irish free state constitution act gave pact legal force united kingdom dáil éireann ratified treaty stated chose join irish free state southern prerogative treaty boundary commission define line conformity desire population december expected parliament sent letter king george v requesting area excluded irish free state next day delivered king went effect sir james craig prime minister notified parliament december king approved parliament address informed british irish free state administration', 'ir final offer final offer irish free state dominion empire accept king head state tds dail swear oath allegiance boundary commission redraw border north south term article dominion status territory irish free state governor general oath allegiance including phrase faithful king george county allowed opt provision boundary commission settle final border britain retain control port provisional government reaction final offer dublin proposal received mixed reaction debate centred proposed dominion status yet initially priority issue partition yet barely discussed agreement effectively reached except demand external association', 'irish free state become within referred dominion status treaty ultimately granted irish free state political independence however still part british commonwealth status similar canada momentarily gave ulster northerly county right opt unified remain part united kingdom civil war december precisely treaty signed government irish free state assumed political authority oath allegiance established next day decision stay independent irish free state newly independent nation early month irish free state faced numerous internal problem parliamentarian took irish oath allegiance personally monarch']","['irish', 'state', 'free', 'treaty', 'dominion', 'independence', 'british', 'republic', 'independent', 'allegiance']","['gaedheal party free state set increasing independence britain process ended passage statute westminster stated dominion independent country leave commonwealth without britain period eamon de valera continued lead side established new party fianna fail entered dail within become official opposition provides view member sinn féin treaty december great principle died partition control foreign power gone board explain background treaty', 'reland leave small survive way believed united maceoin give supporter view treaty december treaty give colleague fought give u first time evacuation britain armed force oath allegiance article treaty solemnly swear true faith allegiance constitution irish free state law established faithful king george v heir successor law virtue common citizenship great britain adherence membership group nation forming british commonwealth butchery', 'approved parliament address informed british irish free state administration declaration formally established separation irish free state affirmed birth reason partition long period struggle irish free state able break free british rule become independent nation april officially became republic changed name éire meanwhile remains part united kingdom day hindsight plausible explanation division border united kingdom republic society profoundly divided catholicism predominant religion protestantism emerged britain queen elizabeth passed away james previously reigned scotland elevated throne united kingdom', 'eland secede united kingdom form irish free state province irish free state constitution act gave pact legal force united kingdom dáil éireann ratified treaty stated chose join irish free state southern prerogative treaty boundary commission define line conformity desire population december expected parliament sent letter king george v requesting area excluded irish free state next day delivered king went effect sir james craig prime minister notified parliament december king approved parliament address informed british irish free state administration', 'omestic sovereignty dominion westminster paper kevin higgins cenotaph london whitehall armistice day november kevin higgins present second right back row right cenotaph commemorating dead first world war contentious independent recently emerged political military conflict british irish soldier great war generally served british dominion armed force ensured subsequent commemoration war politically sensitive though irish representative sometimes attended first world war commemoration overseas higgins lost brother war participation event political structure ultimately derived status dominion left cosgrave government vulnerable attack republican opponent treaty']","[2057, 2055, 1403, 1402, 1202]"
5,66,5_nationalist_unionist_parliament_government,"['nationalist', 'unionist', 'parliament', 'government', 'election', 'republic', 'local', 'act', 'state', 'partition']","['partition unionist', 'unionist nationalist', 'unionist', 'ulster', 'parliament', 'nationalist', 'stormont government', 'boundary commission', 'election', 'declaration republic']",['Irish partition politics'],"['nationalist', 'unionist', 'election', 'parliament', 'declaration republic', 'partition', 'declaration', 'dublin', 'border', 'refused']","['border issue justification calling election february brooke urged unionist use vote link britain election became known gate money allow high number nationalist candidate resenting league stand raised collection outcome bitter campaign marred sectarian violence increased share vote seat unionist nationalist brooke used increased support justification demanding british guarantee future within united response act june stated event cease part', 'g league stand raised collection outside church result bitter campaign marred sectarian violence increased share vote seat side brooke used increased support demand british guarantee future within united response act june stated event cease part united kingdom without consent parliament put simply parliament given final word future debate ending partition unionist nationalist hand outraged strongly expressed displeasure act', 'dublin objected government claim represented whole fearing correctly republic make determined effort reunite unionist rejected dublin offer reasonable guarantee respect right agree end stormont government pledged defiance declaration republic used border issue justification calling general election february brooke urged unionist vote support continued membership uk source c represented league urged vote favour united election became known gate election money used fund nationalist campaign raised collection outside church south']","['nationalist', 'unionist', 'parliament', 'government', 'election', 'republic', 'local', 'act', 'state', 'partition']","['eutrality britain put simply parliament given final word future debate ending partition surprisingly unionist moon royal visit cemented sense union part north nationalist hand outraged strongly expressed displeasure act however nothing changed attlee felt dublin consulted declaration republic free give whatever guarantee wanted passage act huge importance unionist population make sure able explain act stated westminster prepared pas first place', 'dublin objected government claim represented whole fearing correctly republic make determined effort reunite unionist rejected dublin offer reasonable guarantee respect right agree end stormont government pledged defiance declaration republic used border issue justification calling general election february brooke urged unionist vote support continued membership uk source c represented league urged vote favour united election became known gate election money used fund nationalist campaign raised collection outside church south', 'tlee right discussing implication declaration republic election speech delivered brooke country danger fight defend existence heritage ulster child loyalist must stand united pledging come may shall maintain province part parcel united development dublin mixed north nationalist unsuccessfully demanded seat dail view heard felt abandoned dublin objected government claim represented whole island', 'e minister brooke called election allow irish people show support nationalist demanded right sit dail north represented refused nationalist felt abandoned resented declaration republic eire politician agreed collection help finance candidate election chapel gate election name given belfast telegraph unionist annoyed eire attempt interfere affair bitter sectarian clash election valid name way economicgeneral recalled britishwar impacted irish free november economy', 'border issue justification calling election february brooke urged unionist use vote link britain election became known gate money allow high number nationalist candidate resenting league stand raised collection outcome bitter campaign marred sectarian violence increased share vote seat unionist nationalist brooke used increased support justification demanding british guarantee future within united response act june stated event cease part']","[2192, 2190, 2189, 654, 650]"
6,42,6_welfare_labour_health_housing,"['welfare', 'labour', 'health', 'housing', 'government', 'state', 'introduction', 'reform', 'stormont', 'nh']","['introduction welfare', 'labour government', 'welfare', 'labour', 'national health', 'welfare state', 'public health', 'nationalisation', 'government', 'health service']",['Welfare State Implementation'],"['welfare state', 'labour government', 'health service', 'reform', 'national health', 'introduction welfare', 'nationalisation', 'came operation', 'benefited', 'shortage']","['ear e national health service came operation july despite initial opposition rom concerned cost term increased taxation doctor earing impact independence private income nh major ostly success greatly benefited public health create spider diagram illustrating problem new labour government complete following table explain implementation labour key welfare state need welfare state impacted', 'nd priority given building council house worker rather private housing however people still remained homeless used temporary housing prefab orlit home national health service national health service bill introduced parliament people opposed plan create national health service nh cost required run doctor resisted plan feared loss independence private income despite delay opposition nh came operation july major success greatly benefited public health britain implementation welfare state labour government promise build welfare state eventually major impact upon', 'deprivation worried labour policy might mean business leader feared implication nationalisation stormont feared loss power centralising socialist government wondered finance labour government demonstrated gratitude contribution war effort helping cover cost introduction welfare state nh came operation following saw improvement range area family national health service including highly successful campaign polio tb time reform mean stormont came rely british government money']","['welfare', 'labour', 'health', 'housing', 'government', 'state', 'introduction', 'reform', 'stormont', 'nh']","['vely increased number funding voluntary sector increased per stormont government effort improve north economy particularly given decline traditional industry linen shipbuilding industrial development act provided land incentive building new time reform mean stormont came rely british government stormont government react labour plan labour overcome opposition step government take following health welfare housing economy extent', 'hed oversee construction massive undertaking took decade complete local council encouraged construct dwelling however successful addition discrepancy manner allocation council house built meant benefited change introduced sector act first time child stay free charge old addition child passed examination opportunity attend grammar new constructed cope massively increased number funding voluntary sector increased per cent', 'lar programme initiated britain new system came online took root quickly soon waging highly successful campaign disease polio tuberculosis population assisted introduction range welfare initiative including family allowance national assistance already serious housing shortage worse impact war report commissioned brooke soon became prime minister published estimated per cent home unsuitable living new home required whole housing trust established oversee construction massive undertaking took decade complete', 'example problem faced working class introduction welfare ii give reason opposition introduction welfare poor poor healthcare valid point correct ii doctor worried impact seen state wealthier worried higher taxation pay valid point correct problem need first change government sixteen major development eire', 'ear e national health service came operation july despite initial opposition rom concerned cost term increased taxation doctor earing impact independence private income nh major ostly success greatly benefited public health create spider diagram illustrating problem new labour government complete following table explain implementation labour key welfare state need welfare state impacted']","[2178, 2177, 2176, 643, 639]"
7,35,7_tag_lesson_postwar_victorian,"['tag', 'lesson', 'postwar', 'victorian', 'workshop', 'focussed', 'themed', 'interwar', 'collection', 'word']","['tag victorian', 'topic interwar', 'topic', 'concentration camp', 'armistice', 'focussed topic', 'victorian', 'tag focussed', 'postwar', 'tag']",['Educational content workshops'],"['lesson', 'victorian', 'themed', 'collection', 'tag focussed', 'medieval', 'online workshop', 'dictionary', 'topic interwar', 'friday agreement']","['n focussed topic session teach black victorian document reveal life black people victorian britain tag online workshop victorian workshop black asian minority ethnic tag workshop focussed topic interwar lesson medieval postwar themed collection victorian body snatcher led anatomy act tag victorian lesson victorian bound britain experience immigration uk tag hook starter lesson postwar britain tag focussed topic british battle tag focussed topic postwar', 'british find entered belsen concentration camp tag lesson discussion activity conflict peace tag lesson postwar black presence tag focussed topic session teach black victorian document reveal life black people victorian britain tag online workshop victorian workshop black asian minority ethnic tag workshop focussed topic interwar lesson medieval postwar themed collection victorian body snatcher led anatomy act tag victorian', 'e belfast good friday agreement key stage lesson tag lesson postwar victorian prison victorian prison tough tag lesson victorian abolition slavery tag focussed topic adolf hitler hitler lunatic tag interwar lesson african nurse part play british health service tag lesson postwar board learn old board game tag lesson victorian session teach pal together meet tommy henry fairhurst tag online workshop archive live pack tag online workshop lesson armistice']","['tag', 'lesson', 'postwar', 'victorian', 'workshop', 'focussed', 'themed', 'interwar', 'collection', 'word']","['hemed collection elizabeth monarchy rule weak feeble woman tag themed collection themed collection england immigrant downloads tag themed collection lesson medieval english reformation state people respond religious change tag medieval themed collection session teach enquiring elizabeth learn elizabeth ruling style letter speech tag online workshop workshop fifty britain never good good true tag postwar themed collection focus film tag focussed topic interwar postwar french revolution', 'urce caribbean photograph photograph tell u tag interwar lesson postwar changing living standard tag interwar lesson postwar session teach chartism chartist tag workshop chronicle dissolution tag workshop focussed topic session teach civil right racial segregation response racial segregation u tag postwar workshop civil war tag focussed topic session teach cold war concerned british early stage cold war tag online workshop postwar workshop cold war tag focussed topic interwar', 'friday agreement tag lesson themed collection discussion activity conflict peace tag lesson postwar black asian minority ethnic tag postwar focussed topic interwar lesson medieval postwar themed collection victorian boston tea party boston tea party significant american revolution tag lesson britain tag focussed topic cabinet paper tag focussed topic interwar postwar caribbean photograph photograph tell u tag', 'lesson capturing collection artwork inspired document national archive tag medieval postwar themed collection cardinal wolsey tag focussed topic caribbean revealed tag focussed topic caribbean photograph photograph tell u tag interwar lesson postwar cat mouse tactic used suffragette police government tag themed collection chamberlain hitler chamberlain trying tag hook starter interwar lesson changing living standard', 'british battle tag focussed topic postwar victorian british empire tag focussed topic interwar postwar victorian british response britain respond threat attack missile tag hook starter lesson bulaya chanda document reveal bulaya chanda soldier showman tag interwar lesson bussa rebellion enslaved african barbados rebel tag lesson captain cook hawaii happened final voyage tag lesson lesson capturing collection artwork inspired document']","[2023, 2020, 2019, 1795, 1794]"
8,36,8_woman_document_source_doe,"['woman', 'document', 'source', 'doe', 'extract', 'referring', 'treaty', 'revolutionary', 'primary', 'discussion']","['source evaluation', 'document discussion', 'information material', 'debate dáil', 'challenge historian', 'source document', 'source extract', 'according document', 'contextual information', 'speech']",['Gender and Revolutionary Sources'],"['woman', 'extract', 'primary source', 'source document', 'debate', 'civil war', 'irish', 'interpreting secondary', 'contextual', 'knowledge support']","['nd came home prayed tryed illegible persuade husband remain child section comprehension according document future doe constance markievicz see woman quality doe markievicz refer according document b life mr lalor ha mr lalor written archbishop section comparison document suggest independence bring positive change explain referring document document discus experience life ordinary irish citizen new free state give reason referring document section criticism doe document provide broad picture woman life revolutionary period explain referring source document b useful historical source give reason referring source', 'ing source document b useful historical source give reason referring source name changed section contextualisation sinn féin td piaras béaslaí visualised free happy glorious gaelic state passing treaty extent achieved guidance approach primary source produced type source document doe written close event time written circumstance strength weakness source document tell example primary source extract discussion source extract speech kathleen callaghan debate dáil treaty december dáil éireann', 'attitude towards woman doe source compare revolutionary optimism future period secondary source evaluation extract provides additional contextual information material understanding interpreting secondary source guidance interpreting secondary source material assess evaluate historian saying stating strength weakness interpretation state whether agree disagree interpretation explain use relevant knowledge support argument afraid challenge historian point view using relevant contextual knowledge support argument extract lindsey gender poverty new free state independence partition civil war royal irish academy dublin march mr anna lalor heartbroken']","['woman', 'document', 'source', 'doe', 'extract', 'referring', 'treaty', 'revolutionary', 'primary', 'discussion']","['ing source document b useful historical source give reason referring source name changed section contextualisation sinn féin td piaras béaslaí visualised free happy glorious gaelic state passing treaty extent achieved guidance approach primary source produced type source document doe written close event time written circumstance strength weakness source document tell example primary source extract discussion source extract speech kathleen callaghan debate dáil treaty december dáil éireann', 'supplemental primary source material provide additional document sample topic document relate later modern topic pursuit sovereignty impact partition document extract letter constance markievicz hanna cork jail august courtesy national library stand suffering put courage girl help corner slyness submission going happen world everything everywhere except seems heading ruin joy harcourt street hq sinn féin splendid woman job woman rarely get chance gratifying woman get get chance', 'ish crowd satisfied anything less execution government yielded discussion role mary mcgeehin hold revolutionary period according mcgeehin henry wilson targeted reportedly ordered assassination doe document reveal irish nationalist view english response event secondary source evaluation extract provides additional contextual information material understanding interpreting secondary source guidance interpreting secondary source material assess evaluate historian saying stating strength weakness interpretation state whether agree disagree interpretation explain use relevant knowledge support argument afraid challenge historian point view using relevant contextual knowledge support argument', 'cuments suggest assassination occurred reaction past violence explain referring document document refer fallout treaty give reason referring document section criticism doe document provide context henry wilson assassination explain referring source document b useful historical source give reason referring source section contextualisation extent henry wilson assassination hasten onset civil war guidance approach primary source produced type source document doe written close event time written circumstance strength weakness source document tell', 'ad rest country generally regarded start civil war primary source evaluation sample provided well supplemental primary source material provide additional document discussion sample topic document relate later modern topic pursuit sovereignty impact partition document irish time june whole country ought mourning today death great irishman harm shame must fear manner bring sir henry wilson murdered yesterday london circumstance suggest crime origin bitter conflict hatred irish politics murder whatever motive may cruel blow']","[871, 868, 860, 854, 850]"
