filename,file_type,religious_group,content,content_length,word_count,chunk_id,chunk_count,has_url_content
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"Madden and McBride – History for CCEA GCSE Chapter (page 105) Changing Relationships: Britain, Northern Ireland and Ireland c1965-85 Unit 1 ‘A Brief but Doomed Era of Hope’? Northern Ireland, 1963 -7 Introduction: The Emergence and Development of Northern Ireland, 1920-63 Northern Ireland was established by the 1920 Government of Ireland Act. This Act partitioned Ireland into two parts: Add 26-county Southern Ireland (which after the 1921 Treaty became the Irish Free State). A six-county Northern Ireland. The first elections for the new Northern Ireland Parliament were held in May 1921 and the Parliament met for the first time the following month. Reactions to the New State The population of the North reacted to the new arrangements rather differently: Northern unionists - who were mostly Protestant – were delighted with the new system. The new state had a substantial Protestant majority and so their control of the government was more or less guaranteed.",968,153,0,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"substantial Protestant majority and so their control of the government was more or less guaranteed. Indeed in the May 1921 elections unionists won 40 out of the 52 seats available. Northern Ireland’s nationalists – most of whom were Catholics – were less pleased; they wanted to be part of the rest of Ireland and governed by a parliament in Dublin. As a result of this desire, most unionists felt that nationalists could not be trusted. Violence and Discrimination In this atmosphere of distrust the number of sectarian killings rocketed. The government responded by establishing the Ulster Special Constabulary and passing the Special Powers Act (1922), which allowed them to arrest and detain suspects without holding a trial. Other political responses to the seeming threat of nationalism included: The abolition of Proportional Representation for local elections. This meant that fewer nationalists would be elected to councils.",933,145,1,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"Representation for local elections. This meant that fewer nationalists would be elected to councils. The redrawing of the boundaries of local council areas to ensure that they would be controlled by unionists even when there was a nationalist majority. This was known as gerrymandering. Allowing only those who paid rates to vote in local elections. For every £10 paid in rates one vote was given, up to a maximum of seven. This usually resulted in extra votes for the wealthy, who tended to be Protestant, and no votes for the poor, who were mostly but not wholly Catholic. Discrimination was also practised against Catholics in other ways: Catholics were given fear houses than Protestants by the unionist-controlled councils, as ownership of a house gave a vote in local elections. The quality of much Catholic housing was inferior. Catholics were less likely to have a job than Protestants.",894,147,2,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"ty of much Catholic housing was inferior. Catholics were less likely to have a job than Protestants. Developments up to 1963 by and large the situation created in the early 1920s remained unchanged until the 1960s. Northern Ireland played a valuable part in the Allied war effort 1939-45, and in the late 1940s (Page 106) the Welfare State was introduced to improve living conditions. However, relations with the South (now the Republic of Ireland since 1949) remains tense, particularly as Articles II and III of the South's 1937 Constitution laid claim to the whole of the island. Furthermore, an IRA campaign in opposition to the border between 1956 and 1962 reinforced the Government's views that nationalists were untrustworthy. The IRA claimed that their campaign had failed because of a lack of nationalist support.",822,133,3,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"rustworthy. The IRA claimed that their campaign had failed because of a lack of nationalist support. While this was true, the introduction of internment in the Republic and the deployment by the Stormont government of the RUC Reserve and the B Specials also played a significant part in the failure of the campaign. O’Neill’s Policies (i) Economic A New Premier In March 1963 Lord Brookeborough resigned as Prime Minister of Northern Ireland. His replacement was the Minister of Finance, Captain Terence O'Neill. Evidence suggests that the Unionist Party’s MPs wanted Home Affairs minister Brian Faulkner to succeed Brookeborough; however, at the time the party’s leader was decided by a group of senior party members, not by election. This lack of widespread support within his party would undermine O’Neill throughout his premiership. (Image – Terence O'Neill) Improving the Economy O’Neill’s appointment seemed to offer the prospect of change and progress in Northern Ireland.",979,152,4,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"onomy O’Neill’s appointment seemed to offer the prospect of change and progress in Northern Ireland. He believed that ‘the face of Ulster’ had to be transformed if it was to prosper. To achieve this goal O’Neill promised to introduce ‘bold and imaginative measures’. O’Neill’s main concern lay with improving the economy. To this end a number of key economic measures were either proposed or introduced during his time as Prime Minister: An investment of £900 million in the economy; Modernisation of the railway system; Co-operation with the Dublin-based Irish Trades Union Congress, whose support was important for economic development; The establishment of an Economic Council under Brian Faulkner; The creation of a Ministry of Development (including transport and local government) in January 1965 to drive economic revival; The establishment of a new city based opponent Lurgan and Portadown, to be called Craigavon; The development of a new university in the market town of Colerain.",990,154,5,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"rtadown, to be called Craigavon; The development of a new university in the market town of Colerain. Success and Failure It was soon clear that these policies were having a positive impact: A number of multinational firms such as Michelin, DuPont, Goodyear, ICI and Grundig opened factories in Northern Ireland; The construction of a motorway system was begun; An oil refinery was opened in Belfast; A new airport was under development; Links with the Republic of Ireland resulted in the signing of an agreement on the supply of electricity from the South. In total over 35,000 new jobs were created during the 1960s, but at the same time over 20,000 were lost in the ailing traditional industries such as linen manufacture. (Page 107) This was not the only bad economic news: Between 1963 and 1969 financial assistance had to be given to shipbuilders Harland and Wolff to keep it afloat. Unemployment averaged between 7% and 8%.",929,156,6,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"given to shipbuilders Harland and Wolff to keep it afloat. Unemployment averaged between 7% and 8%. Several companies refused government grants to open factories West of the Bann, seeing the areas too remote from their export markets. This last fact alone had significant implications, not only for unemployment in the West (over 12.5%) but also for feeding allegations of bias in government policy. Source A [The unionists] contrary to popular Catholic belief … did genuinely try to create a non-sectarian state in which all citizens would enjoy equal rights. ATQ Stewart comments in his book The Narrow Ground on the realities of perception of unionist discrimination Source B It is a new motorway driving deeper into the province. It is a new airport worthy of our position as the busiest air centre in Britain outside London. It is a new hospital in Londonderry - the most modern in the British Isles.",905,151,7,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"Britain outside London. It is a new hospital in Londonderry - the most modern in the British Isles. It is new laboratories and research facilities at Queen’s to carry us to the frontiers of existing knowledge and beyond. It is replacement of derelict slums by modern housing estates. Terrance O’Neill sketching out his economic vision in 1963 (Adapted) Source C O'Neill wanted greater economic and social equality within Northern Ireland. He believed that a modern, industrialised system could not work properly without the involvement of all its citizens. Historian Sabine Wichert writing in her book Northern Ireland Since 1945 (Adapted) Questions Give one reason why O'Neill wanted to improve the Northern Ireland economy. Describe two measures taken by O’Neill to improve the economy of Northern Ireland. What weaknesses did O’Neill face in his position as soon as he became Prime Minister of Northern Ireland? Construct a spider diagram showing the economic policies introduced by O’Neill.",994,155,8,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"of Northern Ireland? Construct a spider diagram showing the economic policies introduced by O’Neill. Explain what O’Neill hoped to achieve with his economic policies. Construct a table as below: Economic successes/Economic failures Using the information on the pages 106-7 fill in the table as appropriate. Now look at your results; would you say that O’Neills economic policies were a success or a failure? Provide evidence to support your answer. Extension Activity Discuss how O'Neill's methods of appointment would always make the achievement of his aims difficult. Revision tip Make sure that you are able to compare O'Neill's aims with the results of his economic policies, positive and negative. (Page 108) O’Neill’s Policies (ii) Political Political Changes O'Neill realised that his economic policies would not change Northern Ireland on their own.",857,130,9,152,False
